id,name,trade,town,phone,email,website,notes
c_battaini,Chris Battaini Roofing & Seamless Gutters,roofing,Pittsfield,(413) 441-4840,,cmbroof.com,family-owned ~20yrs
c_briggs,Briggs Roofing,roofing,Lee,(413) 243-1888,,briggsroofinginc.com,family & woman-owned 30+yrs
c_randt,R & T Roofing and Remodeling,roofing,Pittsfield,(413) 281-1105,,randtroofing.com,roofing+siding+remodel
c_sg,S & G Roofing Inc.,roofing,Pittsfield,,,sgroofingma.com,since 1994 (verify phone)
c_acwood,A.C. Wood Contracting,roofing,Lanesborough,(413) 499-9905,,acwoodcontracting.com,GC + roofing
c_bpvs,Berkshire Photovoltaic Services,solar,North Adams,(413) 664-0152,info@bpvs.com,bpvs.com,since 1985 MassCEC-listed
c_pvsquared,PV Squared Solar,solar,Greenfield,(413) 772-8788,,pvsquared.coop,co-op (verify size/base)
c_laureyns,Laureyns United,hvac,Pittsfield,(413) 717-1684,,laureynsunited.com,HVAC Carrier dealer ~24yrs
c_wtpi,WTPI Service,hvac,Pittsfield,(413) 281-0592,,wtpiservice.com,HVAC 30+yrs small shop
c_pariseau,Pariseau Inc.,hvac,Pittsfield,(413) 442-8516,,pariseauheating.com,HVAC ~50yrs local
c_dondavis,Don Davis Heating Cooling & Plumbing,hvac,Pittsfield,,,dondavisheating.com,HVAC+plumbing (verify phone)
c_pipers,Pittsfield Pipers Inc.,hvac,Pittsfield,(413) 443-4402,,pittsfieldpipers.com,HVAC+plumbing+sheetmetal
c_allfaze,Allfaze Mechanical,hvac,Williamstown,(413) 458-5678,Kevin@AllfazeMechanical.net,allfazemechanical.net,founded 2008 N.Berkshire
c_morrison,Morrison's Home Improvement,remodel,Lenox,(413) 442-3001,morrisonsimprove@yahoo.com,morrisonshomeimprovement.com,since 1992 kitchen/bath
c_kj,KJ Home Improvement LLC,remodel,Pittsfield,(413) 822-3556,,kjhomeimprovementllc.com,exterior remodel owner-op
c_salco,Salco Construction Company,remodel,Pittsfield,(413) 443-0366,,salcogc.com,GC (verify size)
