id,dbf_id,name,text,card_set,data_first_seen,set_release_date,type,card_class,classes,rarity,cost,attack,health,durability,armor,spell_school,races,mechanics,artist,legendary,n_balance_changes,is_reprint,n_printings,original_id,flavor
CS2_041,149,Ancestral Healing,Restore a minion to full Health and give it Taunt.,LEGACY,2013-01-13,,SPELL,SHAMAN,SHAMAN,FREE,0,0,0,0,0,NATURE,,,Dan Scott,False,2,False,2,CS2_041,"I personally prefer some non-ancestral right-the-heck-now healing, but maybe that is just me."
CS2_072,180,Backstab,Deal 2 damage to an undamaged minion.,LEGACY,2013-01-13,,SPELL,ROGUE,ROGUE,FREE,0,0,0,0,0,NONE,,,Michael Sutfin,False,4,False,3,CS2_072,"It's funny how often yelling ""Look over there!"" gets your opponent to turn around."
EX1_621,1362,Circle of Healing,Restore 4 Health to ALL minions.,EXPERT1,2013-01-13,,SPELL,PRIEST,PRIEST,COMMON,0,0,0,0,0,HOLY,,,Daarken,False,5,False,2,EX1_621,It isn't really a circle.
EX1_607,22,Inner Rage,Deal 1 damage to a minion and give it +2 Attack.,EXPERT1,2013-01-13,,SPELL,WARRIOR,WARRIOR,COMMON,0,0,0,0,0,NONE,,,Slawomir Maniak,False,5,False,2,EX1_607,They're only smiling on the outside.
EX1_169,254,Innervate,Gain 1 Mana Crystal this turn only.,LEGACY,2013-01-13,,SPELL,DRUID,DRUID,FREE,0,0,0,0,0,NATURE,,,Doug Alexander,False,3,False,3,EX1_169,"Some druids still have flashbacks from strangers yelling ""Innervate me!!"" at them."
CS2_008,467,Moonfire,Deal 1 damage.,LEGACY,2013-01-13,,SPELL,DRUID,DRUID,FREE,0,0,0,0,0,ARCANE,,,Richard Wright,False,2,False,3,CS2_008,"""Cast Moonfire, and never stop."" - How to Be a Druid, Chapter 5, Section 3"
EX1_145,1158,Preparation,The next spell you cast this turn costs (2) less.,EXPERT1,2013-01-13,,SPELL,ROGUE,ROGUE,EPIC,0,0,0,0,0,NONE,,,Clint Langley,False,5,False,3,EX1_145,"""Be Prepared"" - Rogue Motto"
NEW1_003,163,Sacrificial Pact,Destroy a friendly Demon. Restore 5 Health to your hero.,LEGACY,2013-01-13,,SPELL,WARLOCK,WARLOCK,FREE,0,0,0,0,0,SHADOW,,,Jim Nelson,False,6,False,2,NEW1_003,This is the reason that Demons never really become friends with Warlocks.
EX1_144,365,Shadowstep,Return a friendly minion to your hand. It costs (2) less.,EXPERT1,2013-01-13,,SPELL,ROGUE,ROGUE,COMMON,0,0,0,0,0,SHADOW,,,Graven Tung,False,5,False,3,EX1_144,Rogue dance troops will sometimes Shadowstep away at the end of a performance. Crowds love it.
EX1_332,1189,Silence,Silence a minion.,EXPERT1,2013-01-13,,SPELL,PRIEST,PRIEST,COMMON,0,0,0,0,0,SHADOW,,SILENCE,Zoltan & Gabor,False,2,False,2,EX1_332,"Reserved for enemy spellcasters, evil liches from beyond the grave, and karaoke nights at the Grim Guzzler."
EX1_244,830,Totemic Might,Give your Totems +2 Health.,LEGACY,2013-01-13,,SPELL,SHAMAN,SHAMAN,FREE,0,0,0,0,0,NONE,,,Trent Kaniuga,False,3,False,2,EX1_244,Totem-stomping is no longer recommended.
CS2_231,179,Wisp,,EXPERT1,2013-01-13,,MINION,NEUTRAL,NEUTRAL,COMMON,0,1,1,0,0,NONE,UNDEAD,,Malcolm Davis,False,2,False,3,CS2_231,"If you hit an Eredar Lord with enough Wisps, it will explode. But why?"
CS2_188,242,Abusive Sergeant,Battlecry: Give a minion +2 Attack this turn.,EXPERT1,2013-01-13,,MINION,NEUTRAL,NEUTRAL,COMMON,1,1,1,0,0,NONE,,BATTLECRY,Luca Zontini,False,5,False,3,CS2_188,"ADD ME TO YOUR DECK, MAGGOT!"
